time,client_platform,client_reputation,content_length,content_type,dest_ip,host,http_domain,ip_bytes_in,ip_bytes_out,login_result,referer,session_id,session_state,source_ip,total_byte_in,total_byte_out,uri_path,uri_query,username,waf_detected,waf_policy,waf_severity,waf_sig_name,waf_status,waf_support_id
2020-04-29T23:29:58.230,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
2020-04-29T23:24:58.121,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,6561110780036880000
2020-04-29T23:19:57.982,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
2020-04-29T23:14:57.909,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
2020-04-29T23:09:57.773,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,6561110780036880000
2020-04-29T23:04:57.636,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
2020-04-29T22:59:57.549,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
2020-04-29T22:54:58.490,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
2020-04-29T22:49:58.348,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
2020-04-29T22:44:58.217,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,6561110780036880000
2020-04-29T22:39:58.154,,,,,192.168.10.101,192.168.10.101,www.f5bdtest.com,"1,178","1,827",,,,,5.136.11.11,,,/,,,,/Common/f5bd_wafpolicy,Informational,,clear,13475394135252100000
